text,label,Prediction
i feel so strongly and passionate about so hearing that just made my heart sink,1,2
i feel i would have to answer would be about supporting understanding people with differences disabilities because i ve done it in one way or another for so long,2,2
i quickly learned just by moving from sauna to ice cold bath to steam room to shower until you feel like a tortured goldilocks who wants nothing more than to find the middle ground between too hot and too cold,4,4
i haven t quite figured out and whenever i can t find the time or ability or money to take care of each side equally i end up feeling disappointed,0,0
i know it will come next week and i will sit in it relish it love it hate it and feel the hurt,0,0
i feel uncertain about,4,4
i want is to be happy and to feel loved,2,2
i feel like i am waiting for an unpleasant meeting with someone in an authoritative position,0,0
i feel a bit melancholy when i think about not teaching the children i don t yet have about the love of jesus or not taking them to sunday school or not having them attend vacation bible school,0,0
i feel somewhat frightened by the number of policemen that arrived but told them they may come inside and search for whatever they need to,4,4
i feel sorry for them,0,0
i liked knowing that i am not the only one feeling the way i do about job options the thing that i liked the most was i was able to find some career path and i found some interests,2,2
i still feel constantly paranoid and anxious i keep wanting to go on facebook to check he hasn t been back on there i keep wanting to go through the texts on his phone i feel edgy when he s at work and want him to come straight home to me,4,4
i left feeling helpless and more than a little sad,4,0
i have become more and more concerned not only for my own future daughters but for all the girls who are out there currently trying to feel accepted by the worlds standards,2,2
i feel so inspired,1,1
i dont want the big buttons simply as i dont feel bothered with nice looking button holes maybe next time i have a suspicion they could be the cause of giving up again so to avoid negativity i ordered extra large red press studs that i will attach using a decorative stitch visible from the outside,3,3
i cant help but feel as though perhaps my perception isnt as keen as i once thought,1,1
i feel like i have suddenly lost a limb in a tragic accident,0,0
i went to bed feeling very pleased with my lovely day out and feeling like id made a few really lovely friends,1,1
i worked very hard on holding my technique when i was tired and i feel sure that it is improving,1,1
im back to watching running man and i love it i got back the feeling of why i loved running man,2,2
i feel that rich people will never understand the cruelty of money,1,1
i feel quite needy have not recourse amp u http cabeal,0,0
i think the ideal preparation for birth for anybody not just me puts you in a place where you feel confident in your knowledge in your caregivers in your support system and in your body,1,1
i dont know why i feel so frantic about this but i really want to have this particular song for my little girl to be,4,4
i set off feeling strangely nervous and quite weak but slowly worked through the problems and was soon attempting the toughest problems,4,4
i feel like theres a dangerous chance that im pulling a don quixote on this blinding rushing at the windmill that is my eventual marriage or future child,3,3
i feel like i missed numerous vantage points,0,0
i feel so amazed with myself as i could stride nonstop for more than minutes,5,5
i can walk down another street and stop feeling helpless and hopeless,4,0
i feel a sense of relief and also sadness because im ending and my colleagues most anyway have been oh so fab,1,1
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,1,1
i still feel good about the fact that im smaller than her now but thats not the drive that got me here,1,1
i just don t feel like having distraught parents breathing down my neck,4,4
i miss her so much every moment but now i feel like i miss her even more like she is as far away as she has ever been because i am so distracted,3,3
i feel slightly charmed and wishful,1,1
id like to be less afraid to say how i really feel less afraid to travel,4,4
i will definitely be passing on my thanks to these wonderfully gifted people but words alone are difficult to express their awesomness and the feeling of safety when they are caring for us,2,2
i ever get to feel what these needy feel if i stay away from them,0,0
i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain,1,1
i feel the delicious heat rising in me again begging for release but i try to stave it off,1,1
i was just feeling a little bit creative,1,1
i was coming back to the couch was tough but i was feeling ok about it,1,1
i hope that by telling them ill find out more about who i am how i got to this place in time and not feel so lost and alone,0,0
i feel kind of strange,5,4
i write on my blog here that i want or i am going to do something i feel more pressured for want of a better word to do it,4,4
i found myself in the novel position of feeling a bit uncertain about the stock market rally,4,4
i feel like im name dropping but its just that i am so thrilled at how many beautiful and talented people there are in this world and how many of them seemed to have congregated in rhinebeck this weekend,1,1
i feel like she has too she once mentioned she disliked katy perry and dr,0,0
i really shut myself off a lot at the end of my pregnancy when i was feeling even more irritable and anxious so maybe now i need to bounce back from that and get back to normal again,3,3
i feel ok lol,1,1
i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way,3,3
i am feeling a little overwhelmed like i do every year at this time at the speed each holiday season creeps up on us,5,4
i hate to say it but i felt a tinge of this same feeling last week as i watched my beloved red sox fall to the tampa bay devil rays,1,1
i often hear that i give a feeling like i m longer here and folks are surprised to hear that i m only years old hyphen,5,5
i know people usually feel devastated when someone they know dies the fact that they didnt invite me to the funeral has hurt a lot,0,0
i know this is not specific for me and almost everyone else has a similar experience but i still can t help but feel appalled,3,3
i express my true feelings about such a wonderful experience,1,1
i walked in feeling not really terrific and her humor her story made me appreciate what i was going through at the time and saw that struggles do lend itself to triumph she said,1,1
i am feeling happy and stressed at the same time because i cant come up with photos for photography tomorrow,1,1
i feel awful about not working this summer im finally going to be able to get some real rest and put my feet up,0,0
i can sleep on the couch or on the floor if you are still feeling shaken he offers gently,4,4
i feel blessed and privileged to have known you loved you and to know that you are and always will be my child,2,2
i just feel like lex has convinced you that youre something that youre not martha said her eyes getting misty,1,1
i feel very hostile at the thought of taking out my credit card,3,3
i feel agitated and empty and missing something,3,3
i feel like i can read all the articles and blogs and even the press releases from the akron marathon in the world but nothing can calm me down,1,1
im still feeling intimidated but i feel like i do actually have something to say,4,4
i feel as dirty as fuck,0,0
i am feeling very thankful and relieved,1,1
ive had a lot of good days where i feel fabulous and have lots of energy but lately ive also had some bad days where i feel gigantic and slow and clumsy,1,1
i would veer from feeling utterly terrified to utterly disorientated to utterly queasy,4,4
i feel something like vain because i could raise my score only in years,0,0
i watched the snow fall and accumulate on the conifer trees while i was shoveling in my shirt sleeves and feeling vigorous,1,1
i have read and personal stories that have been shared with me so i feel that it is totally ok to share,1,1
i need to do everything i can to push away the boundaries i feel listless and overwhelmed,0,0
i do classes when i feel super strong and capable,1,1
i was feeling frustrated,3,3
i feel like i ve impressed a lot of the scientists with my ability to quickly pick up all the skills expected of a tech,5,5
i part basically they are feeling sympathetic a bit to late in my opinion hachi rushes in to find that nobu is trying to help nana by blowing into a paper bag,2,2
i had stated to her the reason i feel so fearful is because i feel unsafe,4,4
i really loved the day which made me feel such gratitude that we were having such a wonderful day which made me feel very happy,1,1
i feel like a monster because as we make our way through the rubble and stunned bodies all im thinking is that we need to find a way to keep going,5,5
i feel a bit like a naughty child because i wasn t sure i d do a post today,2,2
i am crushed and think of suicide but i will not ever ever give up on my kids i will fight and prove her psychotic behavior to everyone she has noconscience and feels joy to hurt me but i will prevail,0,0
i feel my heart shaky all the time now,4,4
i feel that blogging is less dignified than other media which is why i do it but i also understand it s not a competition and the distinction is somewhat blurred so it s really just a a href http www,1,1
i feel so numb like this life i have been living for the past week has been unreal,0,0
i guess sometimes you arent aware of your true feelings until a playful kiss exposes them,1,1
i feel you are very charming but do the other people feel very terrible,1,1
im now wondering if that was supposed to be a metaphor for his feelings for neal im not convinced thats the case because he seemed pretty into her but who knows,1,1
i need instead to focus on feeling that ecstatic feeling to make phone calls without being attached to outcomes amp believe that the money to move will come without wondering exactly how or where or when,1,1
i dont know i have this one feeling that i feel isolated on twitter well nobody were isolating me i just felt like among those who were having convos together im the only one who keep talking about how i am happy the drama ive been following was updating their new episode,0,0
i first held my scotty i knew i was in love with my high priced bundle of joy but i couldnt help feeling apprehensive about what the time to come holds,4,4
i feel is probably the most acceptable strategy to finding out historical past it does not imply by any means that it is the only method to study historical past we must always have this subject clear,1,1
i would like to reduce the amount of jealousy i feel god commands us not to be jealous and i feel that every jew religious or not should obey that prohibition,3,3
i feel some people shouldn t answer if they are not considerate and serious,1,1
i feel he is so talented and so realistic,1,1
i was feeling pretty triumphant i had held a little conversation with the cashier and she didn t realize i was deaf,1,1
